date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:22:38	1091679/1091679	---MCZ	200	added ('OK')	text/html	etag:W/%220e7a397aac4c45958cc2678dc44cddf3%22	https://baya.vn/	C:/My%20Web%20Sites/baya/baya.vn/index.html	(from )
23:22:38	305/305	---MCZ	200	added ('OK')	text/plain	date:Sat,%2009%20Mar%202024%2016:22:37%20GMT	https://baya.vn/robots.txt		(from )
23:22:39	14658/14658	---M--	200	added ('OK')	image/png	etag:%22285ad6b75079ab472e23bfcdacd83bb1%22	http://theme.hstatic.net/200000796751/1001150659/14/favicon.png?v=944	C:/My%20Web%20Sites/baya/theme.hstatic.net/200000796751/1001150659/14/favicon5b01.png	(from https://baya.vn/)
23:22:42	35886/35886	---M--	200	added ('OK')	image/png	etag:%22871d8fee092d7e4a3e589562f3111f59%22	http://theme.hstatic.net/200000796751/1001150659/14/logo.png?v=944	C:/My%20Web%20Sites/baya/theme.hstatic.net/200000796751/1001150659/14/logo5b01.png	(from https://baya.vn/)
23:22:45	34783/34783	---M--	200	added ('OK')	image/jpeg	etag:%2274f555fa214bbe1467196de86447f4c8%22	http://theme.hstatic.net/200000796751/1001150659/14/topbar_img_mb.jpg?v=944	C:/My%20Web%20Sites/baya/theme.hstatic.net/200000796751/1001150659/14/topbar_img_mb5b01.jpg	(from https://baya.vn/)
23:22:49	73254/73254	---M--	200	added ('OK')	image/jpeg	etag:%223b527be4760b1a117a997caf57f5d173%22	http://theme.hstatic.net/200000796751/1001150659/14/topbar_img.jpg?v=944	C:/My%20Web%20Sites/baya/theme.hstatic.net/200000796751/1001150659/14/topbar_img5b01.jpg	(from https://baya.vn/)
23:22:50	0/0	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Mar%202024%2016:22:46%20GMT	https://baya.vn/owl.video.play.png	C:/My%20Web%20Sites/baya/baya.vn/owl.video.play.7.delayed	(from https://baya.vn/)
23:22:52	418960/418960	---MCZ	200	added ('OK')	text/css	etag:W/%2203d8b9520472cedeed0c790bcec4841a%22	http://theme.hstatic.net/200000796751/1001150659/14/style-themes.scss.css?v=944	C:/My%20Web%20Sites/baya/theme.hstatic.net/200000796751/1001150659/14/style-themes.scss5b01.css	(from https://baya.vn/)
23:22:52	13041/13041	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d16a832add6c22628b6d020849c2caae%22	http://hstatic.net/0/0/global/api.jquery.js	C:/My%20Web%20Sites/baya/hstatic.net/0/0/global/api.jquery.js	(from https://baya.vn/)
23:22:58	157243/157243	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a06444c844a66554df6a30aebd004441%22	http://theme.hstatic.net/200000796751/1001150659/14/scripts.js?v=944	C:/My%20Web%20Sites/baya/theme.hstatic.net/200000796751/1001150659/14/scripts5b01.js	(from https://baya.vn/)
